pid,artist,location,label,_date,description,order,layout,collection,thumbnail,full,manifest
mailart5,"Cracker Jack Kid, Mark Bloch, Jose Oliveira, Vincze Ferenc Gyorgy","Omaha NE, New York NY, Lisbon Portugal, Mures Romania",four mail art postcards,1991-2000,four mail art postcards.,04,mail_art_item,mail-art,"/img/derivatives/iiif/images/mailart5_recto/full/250,/0/default.jpg","/img/derivatives/iiif/images/mailart5_recto/full/1140,/0/default.jpg",/img/derivatives/iiif/mailart5/manifest.json
mailart12,Pawel Petasz,"Elblag, Poland",Untitled mail art piece,1988,Folded work by Pawel Petasz,11,mail_art_item,mail-art,"/img/derivatives/iiif/images/mailart12_recto/full/250,/0/default.jpg","/img/derivatives/iiif/images/mailart12_recto/full/1140,/0/default.jpg",/img/derivatives/iiif/mailart12/manifest.json
mailart13,Johan van Geluwe,"Waregem, Belgium",Museum of Museums,undated,Invitation for Museum of Museums mail art exhibition,12,mail_art_item,mail-art,"/img/derivatives/iiif/images/mailart13/full/250,/0/default.jpg","/img/derivatives/iiif/images/mailart13/full/1140,/0/default.jpg",/img/derivatives/iiif/mailart13/manifest.json
mailart10,"Penis Pudsworth, David Cole","Los Angeles CA, Brooklyn NY",Untitled mail art envelopes,"1992, 1986",Two envelopes ,09,mail_art_item,mail-art,"/img/derivatives/iiif/images/mailart10/full/250,/0/default.jpg","/img/derivatives/iiif/images/mailart10/full/1140,/0/default.jpg",/img/derivatives/iiif/mailart10/manifest.json
mailart8,Mark Bloch,"New York, NY",Panmag,"1984, undated","Two issues of Bloch's mail art zine, Panmag",07,mail_art_item,mail-art,"/img/derivatives/iiif/images/mailart8/full/250,/0/default.jpg","/img/derivatives/iiif/images/mailart8/full/1140,/0/default.jpg",/img/derivatives/iiif/mailart8/manifest.json
mailart9,Fernand Barbot,"Brooklyn, NY","La critique est facile, mail art est difficile",1990,Mail art piece by Fernand Barbot,08,mail_art_item,mail-art,"/img/derivatives/iiif/images/mailart9/full/250,/0/default.jpg","/img/derivatives/iiif/images/mailart9/full/1140,/0/default.jpg",/img/derivatives/iiif/mailart9/manifest.json
mailart6,Four artists,Four places,four mail art postcards,dates,four mail art postcards.,05,mail_art_item,mail-art,"/img/derivatives/iiif/images/mailart6_recto/full/250,/0/default.jpg","/img/derivatives/iiif/images/mailart6_recto/full/1140,/0/default.jpg",/img/derivatives/iiif/mailart6/manifest.json
mailart1,Peter,Unknown,Mail Art For Peace,1982,"Catalogue for the mail art exhibition ""Mail Art for Peace,"" commissioned by Peter in 1982.",00,mail_art_item,mail-art,"/img/derivatives/iiif/images/mailart1/full/250,/0/default.jpg","/img/derivatives/iiif/images/mailart1/full/1140,/0/default.jpg",/img/derivatives/iiif/mailart1/manifest.json
mailart11,Three artists,Three places,three mail art works,dates,three mail art works.,10,mail_art_item,mail-art,"/img/derivatives/iiif/images/mailart11_recto/full/250,/0/default.jpg","/img/derivatives/iiif/images/mailart11_recto/full/1140,/0/default.jpg",/img/derivatives/iiif/mailart11/manifest.json
mailart2,Unknown,Unknown,Create Poetry,undated,Invitation for National Poetry Day mail art event.,01,mail_art_item,mail-art,"/img/derivatives/iiif/images/mailart2/full/250,/0/default.jpg","/img/derivatives/iiif/images/mailart2/full/1140,/0/default.jpg",/img/derivatives/iiif/mailart2/manifest.json
mailart3,The Calgary Herald,"Calgary, Alberta, Canada",Chuck Stake offers food for thought in mail art,1982,Review discussing mail art in the Calgary Herald newspaper.,02,mail_art_item,mail-art,"/img/derivatives/iiif/images/mailart3/full/250,/0/default.jpg","/img/derivatives/iiif/images/mailart3/full/1140,/0/default.jpg",/img/derivatives/iiif/mailart3/manifest.json
mailart7,Unknown,"Chicago, IL",Global Mail,undated,Issue of Global Mail magazine.,06,mail_art_item,mail-art,"/img/derivatives/iiif/images/mailart7/full/250,/0/default.jpg","/img/derivatives/iiif/images/mailart7/full/1140,/0/default.jpg",/img/derivatives/iiif/mailart7/manifest.json
mailart4,Clemente Padin,"Porto Alegre, Brasil",Memorial Latinoamericano,1990,Notification of mail art event,03,mail_art_item,mail-art,"/img/derivatives/iiif/images/mailart4/full/250,/0/default.jpg","/img/derivatives/iiif/images/mailart4/full/1140,/0/default.jpg",/img/derivatives/iiif/mailart4/manifest.json
mailart14,Mark Bloch,"New York, NY",Panmag,1985-2008,"Four issues of Bloch's mail art zine, Panmag",13,mail_art_item,mail-art,"/img/derivatives/iiif/images/mailart14/full/250,/0/default.jpg","/img/derivatives/iiif/images/mailart14/full/1140,/0/default.jpg",/img/derivatives/iiif/mailart14/manifest.json
